SB 251,Flores,"Judiciary & Civil Jurisprudence
 11-0-0-0",None,Neutral,Support,,
SB 456,Middleton,"Criminal Jurisprudence
 9-0-0-2
 Absent: Bowers, Moody",None,Support,Support,,
SB 500,Sparks,"Human Services
 7-0-0-4
 Absent: Aicha Davis, Rose, Schatzline, Swanson",None,Neutral,Support,Support,
SB 1307,Cook,"Insurance
 7-0-0-2
 Absent: Jessica Gonzalez, Goodwin",None,Oppose,Neutral,,
SB 2615,Creighton,"Higher Education
 7-3-0-1
 No: Aicha Davis, Perez, Ward Johnson
 Absent: Lalani",None,Support,Support,Support,
SB 2995,West,"Higher Education
 11-0-0-0",None,Oppose,Neutral,,
SB 2321,King,"Environmental Regulation
 5-0-0-4
 Absent: Anchia, Morales Shaw, Oliverson, Reynolds",None,Support,Support,Support/Amend,
SB 2972,Creighton,"Higher Education
 6-5-0-0
 No: Howard, Aicha Davis, Lalani, Perez, Ward Johnson",None,Support,Support,,Opposed: 1 constituent
SB 973,Eckhardt,"Ways & Means
 10-2-0-1
 No: Troxclair, Vasut
 Absent: Bernal",None,Oppose,Neutral,,
SB 865,Alvarado,"Public Education
 10-2-1-2
 No: Frank, Schoolcraft
 PNV: Leo Wilson
 Absent: Hunter, Talarico",None,Oppose,Neutral,,
SB 506,Bettencourt,"Elections
 6-2-0-1
 No: Bucy, Morales Shaw
 Absent: Plesa",None,Support,Support,Support,
SB 1522,Perry,"Human Services
 7-0-0-4
 Absent: Davis, Rose, Schatzline, Swanson",None,Neutral,Support,,
Page 5,,,,,,,
SB 1558,Perry,"Judiciary & Civil Jurisprudence
 6-5-0-0
 No: Dutton, Flores, Gonzalez J, Johnson, Moody",None,Support,Support,,
SB 510,Bettencourt,"Elections
 7-1-0-1
 No: Bucy
 Absent: Plesa",None,Support,Support,,
SB 667,Hughes,"State Affairs
 12-3-0-0
 No: Hernandez, Thompson, Turner",None,Support,Support,Support,
SB 763,Alvarado,"Environmental Regulation
 7-0-0-2
 Absent: Bumgarner, Reynolds",None,Neutral,Neutral,,
SB 2073,Zaffirini,"Ways & Means
 12-0-0-1
 Absent: Bernal",None,Neutral,Neutral/amend,Oppose,
SB 1858,Hagenbuch,"Homeland Security
 7-2-0-2
 No: Dorazio, Pierson
 Absent: Canales, Cortez",None,Support,Support,,
SB 1660,Huffman,"Criminal Jurisprudence
 6-3-0-2
 No: Jones J, Rodriguez Ramos, Wu
 Absent: Bowers, Moody",None,Support,Support,,
SB 2900,Kolkhorst,"Ways & Means
 9-0-0-4
 Absent: Bernal, Gervin-Hawkins, Martinez Fischer, Noble",None,Support,Support,Support,
SB 1433,Bettencourt,"State Affairs
 9-6-0-0
 No: Anchia, Davis Y, Hernandez, Raymond, Thompson, Turner",None,Support,Support,,
SB 1540,Bettencourt,"DOGE
 11-0-0-2
 Absent: Bowers, Olcott",None,Support,Neutral,,
SB 1964,Parker,"DOGE
 11-0-0-2
 Absent: Bowers, Olcott",Yes,Neutral,Support,,
SB 1300,Flores,"Criminal Jurisprudence
 8-3-0-0
 No: Wu, Jolanda Jones, Rodriguez Ramos",None,Support,Support,,Support: Texas Retailers Association
Page 6,,,,,,,
SB 1644,Schwertner,"Insurance
 8-0-0-1
 Absent: Vo",None,Support,Neutral,,
SB 2217,Hughes,"Elections
 8-0-0-1
 Absent: Plesa",None,Support,Support,Support,
SB 2373,Johnson,"DOGE
 11-0-0-2
 Absent: Bowers, Olcott",None,Support,Support,,
SB 2431,Campbell,"Higher Education
 10-1-0-0
 No: Tinderholt",None,Oppose,Neutral,,
SB 1758,Birdwell,"Environmental Regulation
 8-0-0-1
 Absent: Morales Shaw",Yes,Support,Neutral,,
SB 974,Eckhardt,"Ways & Means
 10-2-0-1
 No: Troxclair, Vasut
 Absent: Bernal",None,Oppose,Oppose,,
SB 2480,Campbell,"Public Health
 9-0-1-3
 PNV: Jones J
 Absent: Collier, Johnson, Simmons",None,Support,Support,,
SB 3039,West,"Higher Education
 10-1-0-0
 No: Tinderholt",None,Neutral,Support,,
SB 3047,Zaffirini,"Intergovernmental Affairs
 9-1-1-0
 No: Lowe
 PNV: Leo Wilson",None,Neutral,Neutral,,
SB 2781,Birdwell,"State Affairs
 12-2-0-1
 No: Anchia, Raymond
 Absent: Guillen",None,Support,Neutral,,
SB 826,Parker,"Criminal Jurisprudence
 9-0-0-2
 Absent: Bowers, Moody",None,Support,Support,,
SB 766,Zaffirini,"Judiciary & Civil Jurisprudence
 11-0-0-0",None,Neutral,Support,,
Page 7,,,,,,,
SB 527,Schwertner,"Insurance
 7-0-0-2
 Absent: Gonzalez J, Goodwin",None,Neutral,Neutral,,"Support: Society of Anesthesiologists, Academy of Pediatric Dentistry, Dental Association"
SB 1946,Zaffirini,"Homeland Security
 6-4-0-1
 No: Dorazio, Holt, Isaac, Pierson
 Absent: Canales",None,Neutral,Oppose,,
SB 2885,Flores,"Natural Resources
 9-0-0-4
 Absent: Ashby, Garcia J, Gonzalez M, Romero",None,Neutral,Neutral,,
SB 1243,Birdwell,"Natural Resources
 9-0-0-4
 Absent: Ashby, Garcia J, Gonzalez M, Romero",None,Support,Support,,
SB 2610,Blanco,"DOGE
 9-2-0-2
 No: Cook, Tinderholt
 Absent: Bowers, Olcott",None,Support,Neutral,,
SB 857,Schwertner,"Homeland Security
 8-3-0-0
 No: Cortez, Dorazio, Lopez R",None,Support,Support,Oppose/Amend,
SB 2501,Zaffirini,"Judiciary & Civil Jurisprudence
 11-0-0-0",None,Support,Support,,
SB 66,Zaffirini,"Judiciary & Civil Jurisprudence
 10-0-0-1
 Absent: LaHood",None,Neutral,Support,,
SB 268,Perry,"Public Health
 9-0-0-4
 Absent: Bucy, Johnson, Olcott, Simmons",None,Support,Support,,Opposed: Texas Medical Association
SB 331,Kolkhorst,"Public Health
 11-0-0-2
 Absent: Bucy, Collier",None,Neutral,Support,,Support: AFP
Postponed Business Until 6:30 Am,,,,,,,
Bill,Author,Committee Votes,Fiscal,Caucus,TCC,TFR,Notes
SB 1302,Kolkhorst,"Natural Resources
 9-0-0-4
 Absent: Fairly, Martinez, Romero, Villalobos",None,Support,Neutral,,
Page 8,,,,,,,
Postponed Business Until 7:00 Am,,,,,,,
Bill,Author,Committee Votes,Fiscal,Caucus,TCC,TFR,Notes
SB 519,Middleton,"Culture, Recreation, and Tourism
 9-0-0-0",None,Neutral,Neutral,,
Postponed Business Until 7:30 Am,,,,,,,
Bill,Author,Committee Votes,Fiscal,Caucus,TCC,TFR,Notes
SB 2807,Hagenbuch,"Judiciary and Civil Jurisprudence
 6-5-0-0
 No: Dutton, Flores, Gonzalez, Johnson, Moody",None,Support,Support,,
